3039,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
2558,"Some friends want me to drive em someplace, probably take a while"
116,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
175,Let me know when you've got the money so carlos can make the call
4709,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
2158,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
3085,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
1678,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
451,Thanks for this hope you had a good day today
2979,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
1776,Call FREEPHONE 0800 542 0578 now!
1419,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
496,Nope... Think i will go for it on monday... Sorry i replied so late
4531,Ok both our days. So what are you making for dinner tonite? Am I invited?
1144,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
3899,Okie
2023,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
4482,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
1490,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
1615,Mm i had my food da from out
5489,Oh thanks a lot..i already bought 2 eggs ..
4026,"Yes, princess. Are you going to make me moan?"
4703,Yar but they say got some error.
4256,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
2416,"Could you not read me, my Love ? I answered you"
2304,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
4262,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
2677,Where in abj are you serving. Are you staying with dad or alone.
3574,And do you have any one that can teach me how to ship cars.
99,Please don't text me anymore. I have nothing else to say.
1619,Friends that u can stay on fb chat with
5229,It means u could not keep ur words.
5384,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.IåÕm knackered and iåÕm dreading work tonight. What are thou upto tonight. X
3476,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
